scan,MRI_Type,dataset,type
thorntonmr_0119202315_12_12_40,1.5T,UCSD,training
thorntonmr_0119202316_00_50_685,1.5T,UCSD,training
thorntonmr_0119202316_02_56_7,1.5T,UCSD,training
thorntonmr_0119202316_05_54_836,1.5T,UCSD,training
thorntonmr_0202202314_10_33_665,1.5T,UCSD,training
thorntonmr_0202202314_12_05_382,1.5T,UCSD,training
thorntonmr_0202202314_16_24_941,1.5T,UCSD,training
thorntonmr_0207202314_25_44_981,1.5T,UCSD,training
thorntonmr_0207202314_26_34_210,1.5T,UCSD,training
thorntonmr_0207202314_35_42_236,1.5T,UCSD,training
thorntonmr_0210202313_44_43_965,1.5T,UCSD,training
thorntonmr_0210202313_45_30_361,1.5T,UCSD,training
thorntonmr_0210202313_49_59_224,1.5T,UCSD,training
thorntonmr_0210202313_50_58_527,1.5T,UCSD,training
thorntonmr_0210202313_54_11_440,1.5T,UCSD,training
thorntonmr_0210202313_55_18_353,1.5T,UCSD,training
thorntonmr_0210202313_57_13_67,1.5T,UCSD,training
thorntonmr_0210202313_58_15_865,1.5T,UCSD,training
thorntonmr_0213202311_07_52_550,1.5T,UCSD,training
thorntonmr_0213202311_10_36_119,1.5T,UCSD,training
thorntonmr_0213202311_11_32_945,1.5T,UCSD,training
thorntonmr_0213202311_21_17_497,1.5T,UCSD,training
thorntonmr_0213202311_22_29_18,1.5T,UCSD,training
thorntonmr_0213202311_23_47_232,1.5T,UCSD,training
thorntonmr_0213202311_24_31_517,1.5T,UCSD,training
thorntonmr_0213202311_41_49_904,1.5T,UCSD,training
thorntonmr_0308202308_48_17_651,1.5T,UCSD,validation
thorntonmr_0308202308_49_19_149,1.5T,UCSD,validation
thorntonmr_0308202309_13_27_212,1.5T,UCSD,validation
thorntonmr_0309202309_51_53_77,1.5T,UCSD,test
thorntonmr_0310202312_54_25_942,1.5T,UCSD,training
thorntonmr_0310202312_55_26_580,1.5T,UCSD,training
thorntonmr_0310202313_00_19_388,1.5T,UCSD,training
thorntonmr_0310202313_05_37_32,1.5T,UCSD,training
thorntonmr_0310202313_06_37_138,1.5T,UCSD,training
thorntonmr_0310202313_07_26_192,1.5T,UCSD,training
thorntonmr_0310202313_25_23_976,1.5T,UCSD,training
thorntonmr_0310202313_34_25_770,1.5T,UCSD,training
thorntonmr_0310202315_29_29_787,1.5T,UCSD,training
thorntonmr_0310202315_30_41_975,1.5T,UCSD,training
thorntonmr_0310202315_35_43_609,1.5T,UCSD,training
thorntonmr_0310202315_36_26_270,1.5T,UCSD,training
thorntonmr_0310202315_38_21_497,1.5T,UCSD,training
thorntonmr_0310202315_39_10_511,1.5T,UCSD,training
thorntonmr_0310202315_40_28_112,1.5T,UCSD,training
thorntonmr_0310202315_55_19_641,1.5T,UCSD,training
thorntonmr_0315202310_06_16_262,1.5T,UCSD,training
thorntonmr_0315202310_08_20_426,1.5T,UCSD,training
thorntonmr_0315202310_19_29_569,1.5T,UCSD,training
thorntonmr_0315202310_20_42_423,1.5T,UCSD,training
thorntonmr_0315202310_23_00_344,1.5T,UCSD,training
thorntonmr_0315202310_38_28_101,1.5T,UCSD,training
thorntonmr_0315202310_41_50_929,1.5T,UCSD,training
thorntonmr_0315202310_43_52_289,1.5T,UCSD,training
thorntonmr_0315202317_04_37_573,1.5T,UCSD,training
thorntonmr_0315202317_06_20_657,1.5T,UCSD,training
thorntonmr_0315202317_16_31_831,1.5T,UCSD,training
thorntonmr_0315202317_17_37_298,1.5T,UCSD,training
thorntonmr_0315202317_19_10_880,1.5T,UCSD,training
thorntonmr_0315202317_19_48_159,1.5T,UCSD,training
thorntonmr_0315202317_32_09_504,1.5T,UCSD,training
thorntonmr_0316202310_12_40_498,1.5T,UCSD,test
thorntonmr_0316202314_53_53_18,1.5T,UCSD,test
thorntonmr_0317202308_45_45_645,1.5T,UCSD,test
thorntonmr_0327202308_25_40_979,1.5T,UCSD,test
thorntonmr_0329202310_05_46_1,1.5T,UCSD,test
thorntonmr_0407202316_14_00_801,1.5T,UCSD,validation
thorntonmr_0407202316_15_10_630,1.5T,UCSD,validation
thorntonmr_0411202310_15_23_623,1.5T,UCSD,training
thorntonmr_0411202310_16_19_126,1.5T,UCSD,training
thorntonmr_0411202310_19_30_459,1.5T,UCSD,training
thorntonmr_0411202310_24_49_827,1.5T,UCSD,training
thorntonmr_0411202310_25_59_110,1.5T,UCSD,training
thorntonmr_0411202310_28_34_761,1.5T,UCSD,training
thorntonmr_0411202310_29_37_430,1.5T,UCSD,training
thorntonmr_0411202310_30_59_112,1.5T,UCSD,training
thorntonmr_0413202307_55_17_148,1.5T,UCSD,test
thorntonmr_0418202308_21_55_878,1.5T,UCSD,training
thorntonmr_0418202308_22_54_728,1.5T,UCSD,training
thorntonmr_0418202308_30_56_204,1.5T,UCSD,training
thorntonmr_0418202308_32_18_195,1.5T,UCSD,training
thorntonmr_0418202308_33_50_542,1.5T,UCSD,training
thorntonmr_0418202308_34_41_975,1.5T,UCSD,training
thorntonmr_0418202308_42_48_785,1.5T,UCSD,training
thorntonmr_0418202308_46_32_479,1.5T,UCSD,training
